seed,policy,language,test_bpb,test_nll_nats,predicted_bytes,training_seconds
1729,fixed_byte,en,2.941124305449,2.038632019998,996030,95.671488
1729,fixed_byte,ko,2.552579759588,1.769313463513,996030,95.671488
1729,fixed_byte,zh,3.726906270874,2.583294573867,996030,95.671488
1729,fixed_codepoint,en,2.941337224443,2.038779604199,996030,100.839849
1729,fixed_codepoint,ko,2.546774810301,1.765289779281,996030,100.839849
1729,fixed_codepoint,zh,3.725183543668,2.582100470361,996030,100.839849
1729,entropy_full,en,2.926364210590,2.028401101862,996030,113.591309
1729,entropy_full,ko,2.562551368849,1.776225256358,996030,113.591309
1729,entropy_full,zh,3.730325422176,2.585664548953,996030,113.591309
1729,entropy_codepoint,en,2.920912903165,2.024622543490,996030,109.931185
1729,entropy_codepoint,ko,2.560491081732,1.774797174151,996030,109.931185
1729,entropy_codepoint,zh,3.719581836090,2.578217662548,996030,109.931185
2718,fixed_byte,en,2.924709381028,2.027254061417,996030,108.500488
2718,fixed_byte,ko,2.545020323207,1.764073661499,996030,108.500488
2718,fixed_byte,zh,3.770819862553,2.613733156128,996030,108.500488
2718,fixed_codepoint,en,2.924799848747,2.027316768861,996030,107.486686
2718,fixed_codepoint,ko,2.536356426368,1.758068305832,996030,107.486686
2718,fixed_codepoint,zh,3.766240247480,2.610558808852,996030,107.486686
2718,entropy_full,en,2.909760903224,2.016892566173,996030,95.051496
2718,entropy_full,ko,2.544113449652,1.763445064651,996030,95.051496
2718,entropy_full,zh,3.759351117385,2.605783627750,996030,95.051496
2718,entropy_codepoint,en,2.902732686127,2.012020977308,996030,94.925527
2718,entropy_codepoint,ko,2.549714873976,1.767327676128,996030,94.925527
2718,entropy_codepoint,zh,3.767259664462,2.611265414859,996030,94.925527
31415,fixed_byte,en,2.923128549308,2.026158312367,996030,95.276120
31415,fixed_byte,ko,2.540814026186,1.761158078578,996030,95.276120
31415,fixed_byte,zh,3.716735548998,2.576244766675,996030,95.276120
31415,fixed_codepoint,en,2.922491989395,2.025717082658,996030,95.127519
31415,fixed_codepoint,ko,2.528941832403,1.752928900930,996030,95.127519
31415,fixed_codepoint,zh,3.713103541470,2.573727250897,996030,95.127519
31415,entropy_full,en,2.910179751826,2.017182889901,996030,95.088303
31415,entropy_full,ko,2.556290146717,1.771885307890,996030,95.088303
31415,entropy_full,zh,3.738006391823,2.590988591407,996030,95.088303
31415,entropy_codepoint,en,2.903375077660,2.012466249188,996030,95.022499
31415,entropy_codepoint,ko,2.549445324870,1.767140838925,996030,95.022499
31415,entropy_codepoint,zh,3.730307577407,2.585652179901,996030,95.022499
57721,fixed_byte,en,2.917711298208,2.022403360041,996030,95.075519
57721,fixed_byte,ko,2.528571728443,1.752672364414,996030,95.075519
57721,fixed_byte,zh,3.699111735664,2.564028870152,996030,95.075519
57721,fixed_codepoint,en,2.917780908455,2.022451610187,996030,95.095599
57721,fixed_codepoint,ko,2.525375501758,1.750456908899,996030,95.095599
57721,fixed_codepoint,zh,3.696657295479,2.562327581857,996030,95.095599
57721,entropy_full,en,2.893919898228,2.005912418223,996030,95.149173
57721,entropy_full,ko,2.526713178541,1.751384115789,996030,95.149173
57721,entropy_full,zh,3.705829846654,2.568685509843,996030,95.149173
57721,entropy_codepoint,en,2.891733403285,2.004396855418,996030,107.080918
57721,entropy_codepoint,ko,2.539380323063,1.760164311300,996030,107.080918
57721,entropy_codepoint,zh,3.703572418025,2.567120779553,996030,107.080918
65537,fixed_byte,en,2.893968967675,2.005946430572,996030,108.613621
65537,fixed_byte,ko,2.520951656801,1.747390533239,996030,108.613621
65537,fixed_byte,zh,3.731428588369,2.586429205489,996030,108.613621
65537,fixed_codepoint,en,2.892020635377,2.004595949533,996030,108.536284
65537,fixed_codepoint,ko,2.517147784475,1.744753889862,996030,108.536284
65537,fixed_codepoint,zh,3.730359971983,2.585688497054,996030,108.536284
65537,entropy_full,en,2.880806889087,1.996823172909,996030,108.599376
65537,entropy_full,ko,2.516100677822,1.744028090837,996030,108.599376
65537,entropy_full,zh,3.741175014943,2.593184913589,996030,108.599376
65537,entropy_codepoint,en,2.874625581286,1.992538616834,996030,108.725167
65537,entropy_codepoint,ko,2.528726540589,1.752779672017,996030,108.725167
65537,entropy_codepoint,zh,3.741469227226,2.593388846004,996030,108.725167
