seed,source,policy,test_bpb,training_seconds
1729,primary_reused,causal_codepoint_grid,2.391849590298,58.905577
1729,primary_reused,causal_eojeol_grid,2.383976101362,58.835890
1729,phase2b_new,causal_grid_early2,2.393639396332,59.404435
1729,phase2b_new,causal_grid_delayed2,2.391827276601,59.199069
1729,phase2b_new,causal_placebo_grid,2.400853153764,59.347753
1729,phase2b_new,causal_whitespace_grid,2.384397699571,59.449739
2718,primary_reused,causal_codepoint_grid,2.371811949563,58.922001
2718,primary_reused,causal_eojeol_grid,2.363758833334,58.893389
2718,phase2b_new,causal_grid_early2,2.371641958798,59.428945
2718,phase2b_new,causal_grid_delayed2,2.372412517059,59.365675
2718,phase2b_new,causal_placebo_grid,2.378661710747,59.726644
2718,phase2b_new,causal_whitespace_grid,2.364384074439,59.243494
31415,primary_reused,causal_codepoint_grid,2.390580848959,58.948361
31415,primary_reused,causal_eojeol_grid,2.386638781561,58.827233
31415,phase2b_new,causal_grid_early2,2.391150319613,59.211912
31415,phase2b_new,causal_grid_delayed2,2.391184465581,59.271565
31415,phase2b_new,causal_placebo_grid,2.399320546858,59.230262
31415,phase2b_new,causal_whitespace_grid,2.386207129900,59.316992
57721,primary_reused,causal_codepoint_grid,2.360797491021,58.959892
57721,primary_reused,causal_eojeol_grid,2.352018439770,59.003566
57721,phase2b_new,causal_grid_early2,2.362939954161,59.213550
57721,phase2b_new,causal_grid_delayed2,2.360064800359,59.302421
57721,phase2b_new,causal_placebo_grid,2.369394990112,59.159380
57721,phase2b_new,causal_whitespace_grid,2.352358200373,58.992785
65537,primary_reused,causal_codepoint_grid,2.356031957235,58.984993
65537,primary_reused,causal_eojeol_grid,2.349282354934,58.750795
65537,phase2b_new,causal_grid_early2,2.356762822399,59.383722
65537,phase2b_new,causal_grid_delayed2,2.357169781443,59.408003
65537,phase2b_new,causal_placebo_grid,2.365531268367,59.318407
65537,phase2b_new,causal_whitespace_grid,2.349032826802,59.290702
