seed,policy,test_bpb,test_nll_nats,predicted_bytes,training_seconds,train_mean_data_patches,train_padded_data_width
1729,fixed_byte_6,2.398347487200,1.662407798756,996030,59.080680,43.000000000,43
1729,causal_codepoint_grid,2.391849590298,1.657903799838,996030,58.905577,43.000000000,43
1729,causal_eojeol_grid,2.383976101362,1.652446313182,996030,58.835890,43.000000000,43
1729,entropy_threshold_full,2.391722013415,1.657815370282,996030,79.471640,46.583690188,194
1729,entropy_threshold_codepoint,2.404205404642,1.666468197715,996030,82.701791,48.331898157,190
2718,fixed_byte_6,2.378481278162,1.648637591973,996030,58.860837,43.000000000,43
2718,causal_codepoint_grid,2.371811949563,1.644014765658,996030,58.922001,43.000000000,43
2718,causal_eojeol_grid,2.363758833334,1.638432770849,996030,58.893389,43.000000000,43
2718,entropy_threshold_full,2.372089364070,1.644207054742,996030,77.364552,46.049455409,203
2718,entropy_threshold_codepoint,2.386189547874,1.653980557390,996030,83.346876,48.414005772,188
31415,fixed_byte_6,2.396284860505,1.660978094877,996030,58.915803,43.000000000,43
31415,causal_codepoint_grid,2.390580848959,1.657024375357,996030,58.948361,43.000000000,43
31415,causal_eojeol_grid,2.386638781561,1.654291942454,996030,58.827233,43.000000000,43
31415,entropy_threshold_full,2.389308413660,1.656142390417,996030,78.532281,45.888475144,167
31415,entropy_threshold_codepoint,2.402653234177,1.665392315133,996030,83.915858,48.517850493,186
57721,fixed_byte_6,2.367801245003,1.641234757100,996030,59.134812,43.000000000,43
57721,causal_codepoint_grid,2.360797491021,1.636380124774,996030,58.959892,43.000000000,43
57721,causal_eojeol_grid,2.352018439770,1.630294950151,996030,59.003566,43.000000000,43
57721,entropy_threshold_full,2.373707531980,1.645328683266,996030,78.538244,46.183578477,179
57721,entropy_threshold_codepoint,2.377983408661,1.648292495131,996030,82.760759,48.575055856,184
65537,fixed_byte_6,2.362843272290,1.637798152293,996030,58.699559,43.000000000,43
65537,causal_codepoint_grid,2.356031957235,1.633076908466,996030,58.984993,43.000000000,43
65537,causal_eojeol_grid,2.349282354934,1.628398440662,996030,58.750795,43.000000000,43
65537,entropy_threshold_full,2.357857161951,1.634342043969,996030,77.585973,46.124022528,153
65537,entropy_threshold_codepoint,2.372836155769,1.644724691302,996030,81.727843,47.936208341,185
