seed,policy,test_bpb,calibration_bpb,train_elapsed_seconds,train_bytes_per_second,test_mean_data_patches,test_mean_bytes_per_patch
1729,fixed_byte_6,1.6529376380827503,1.6385637559475228,3202.8159726660233,39886.77497872628,86.0,5.953488372093023
1729,causal_codepoint_grid,1.6481003895128044,1.6328873630835787,3146.3097628749674,40603.122269584586,86.0,5.953488372093023
1729,causal_whitespace_grid,1.6392174971655535,1.6240038285288183,3412.401112374966,37436.98228696463,86.0,5.953488372093023
1729,spacebyte_spacelike,1.5516087963711789,1.5336641971609823,4001.3539395830594,31926.6932965474,153.312992,3.339573465502519
1729,entropy_threshold_full,1.6569211682449254,1.6410586203394995,4049.770099458983,31545.000546343697,85.323072,6.000721586770809
1729,entropy_threshold_codepoint,1.6632859450945057,1.6472743565216827,4146.542347374954,30808.80147790472,83.908768,6.10186530208619
2718,fixed_byte_6,1.6505373972634603,1.6354612247340623,3196.9733024160378,39959.67057449492,86.0,5.953488372093023
2718,causal_codepoint_grid,1.6465807383551512,1.6312696732456284,3392.997861040989,37651.07000710152,86.0,5.953488372093023
2718,causal_whitespace_grid,1.6351667462548622,1.6203075468721082,3265.447476417059,39121.74393329116,86.0,5.953488372093023
2718,spacebyte_spacelike,1.5452558352045702,1.5272311631551894,4595.446365999989,27799.258184183167,153.312992,3.339573465502519
2718,entropy_threshold_full,1.654502911471339,1.6381948016012522,4238.089560625027,30143.298807767438,85.114336,6.0154378693619845
2718,entropy_threshold_codepoint,1.66089814557894,1.643673711729767,4118.960827750037,31015.104377621097,83.638496,6.121583056682415
31415,fixed_byte_6,1.649237154153242,1.6346691174861705,3177.1704848749796,40208.733087556335,86.0,5.953488372093023
31415,causal_codepoint_grid,1.6442099729107413,1.628967782108349,3424.1541800410487,37308.48357957659,86.0,5.953488372093023
31415,causal_whitespace_grid,1.6348594759443333,1.619912475528326,3485.2792868339457,36654.164411612786,86.0,5.953488372093023
31415,spacebyte_spacelike,1.5496029950989982,1.5313560216716318,4442.741465874948,28754.76796956518,153.312992,3.339573465502519
31415,entropy_threshold_full,1.6523174662573332,1.6361568233418602,4550.340644874959,28074.821199130354,85.34864,5.998923943017721
31415,entropy_threshold_codepoint,1.6575861069362812,1.6399329655625428,4541.559591291007,28129.103545173377,83.89392,6.102945243230976
